timestamp,cloud,resource_id,metric,value,threshold,status
2026-01-01T00:00:00,Azure,R-00121,CPUPercent,93.34,80,OK
2026-01-01T00:15:00,AWS,R-00075,LatencyMs,87.06,80,OK
2026-01-01T00:30:00,AWS,R-00026,CPUPercent,45.53,80,OK
2026-01-01T00:45:00,Azure,R-00305,MemoryPercent,83.31,80,OK
2026-01-01T01:00:00,AWS,R-00013,DiskPercent,98.22,80,Warning
2026-01-01T01:15:00,Azure,R-00085,CPUPercent,10.01,80,Warning
2026-01-01T01:30:00,Azure,R-00441,MemoryPercent,46.17,80,OK
2026-01-01T01:45:00,AWS,R-00150,MemoryPercent,86.16,80,OK
2026-01-01T02:00:00,Azure,R-00438,DiskPercent,13.88,80,OK
2026-01-01T02:15:00,AWS,R-00341,DiskPercent,96.68,80,OK
2026-01-01T02:30:00,Azure,R-00158,CPUPercent,61.8,80,OK
2026-01-01T02:45:00,Azure,R-00141,DiskPercent,74.16,80,OK
2026-01-01T03:00:00,AWS,R-00397,CPUPercent,30.49,80,OK
2026-01-01T03:15:00,Azure,R-00341,DiskPercent,57.72,80,OK
2026-01-01T03:30:00,AWS,R-00081,DiskPercent,85.95,80,OK
2026-01-01T03:45:00,AWS,R-00040,CPUPercent,12.77,80,OK
2026-01-01T04:00:00,Azure,R-00199,CPUPercent,2.92,80,OK
2026-01-01T04:15:00,Azure,R-00308,CPUPercent,77.79,80,OK
2026-01-01T04:30:00,Azure,R-00229,MemoryPercent,81.58,80,Warning
2026-01-01T04:45:00,Azure,R-00015,DiskPercent,33.52,80,OK
2026-01-01T05:00:00,AWS,R-00386,CPUPercent,3.04,80,OK
2026-01-01T05:15:00,Azure,R-00453,DiskPercent,85.09,80,Warning
2026-01-01T05:30:00,Azure,R-00047,CPUPercent,57.95,80,OK
2026-01-01T05:45:00,AWS,R-00149,MemoryPercent,39.12,80,OK
2026-01-01T06:00:00,Azure,R-00456,MemoryPercent,57.07,80,OK
2026-01-01T06:15:00,AWS,R-00098,DiskPercent,42.52,80,OK
2026-01-01T06:30:00,Azure,R-00440,MemoryPercent,97.46,80,OK
2026-01-01T06:45:00,AWS,R-00044,MemoryPercent,3.42,80,OK
2026-01-01T07:00:00,Azure,R-00433,MemoryPercent,9.4,80,Warning
2026-01-01T07:15:00,AWS,R-00413,LatencyMs,68.9,80,OK
2026-01-01T07:30:00,AWS,R-00417,DiskPercent,2.73,80,OK
2026-01-01T07:45:00,AWS,R-00098,DiskPercent,20.43,80,OK
2026-01-01T08:00:00,AWS,R-00386,CPUPercent,50.87,80,OK
2026-01-01T08:15:00,Azure,R-00114,DiskPercent,32.81,80,Warning
2026-01-01T08:30:00,Azure,R-00305,LatencyMs,23.89,80,OK
2026-01-01T08:45:00,Azure,R-00317,CPUPercent,47.77,80,OK
2026-01-01T09:00:00,AWS,R-00272,DiskPercent,54.29,80,OK
2026-01-01T09:15:00,AWS,R-00491,LatencyMs,28.5,80,Warning
2026-01-01T09:30:00,Azure,R-00020,LatencyMs,76.99,80,OK
2026-01-01T09:45:00,AWS,R-00426,LatencyMs,52.7,80,Warning
2026-01-01T10:00:00,AWS,R-00128,LatencyMs,71.38,80,OK
2026-01-01T10:15:00,AWS,R-00329,DiskPercent,44.56,80,OK
2026-01-01T10:30:00,Azure,R-00174,DiskPercent,51.22,80,OK
2026-01-01T10:45:00,AWS,R-00070,CPUPercent,29.7,80,OK
2026-01-01T11:00:00,Azure,R-00484,MemoryPercent,78.99,80,OK
2026-01-01T11:15:00,AWS,R-00018,DiskPercent,20.05,80,OK
2026-01-01T11:30:00,Azure,R-00098,LatencyMs,93.03,80,OK
2026-01-01T11:45:00,AWS,R-00463,MemoryPercent,29.15,80,OK
2026-01-01T12:00:00,Azure,R-00213,DiskPercent,96.44,80,OK
2026-01-01T12:15:00,Azure,R-00084,MemoryPercent,45.65,80,OK
2026-01-01T12:30:00,AWS,R-00382,DiskPercent,10.12,80,OK
2026-01-01T12:45:00,AWS,R-00286,MemoryPercent,58.86,80,OK
2026-01-01T13:00:00,AWS,R-00055,CPUPercent,24.01,80,OK
2026-01-01T13:15:00,Azure,R-00302,LatencyMs,31.67,80,OK
2026-01-01T13:30:00,AWS,R-00283,CPUPercent,30.7,80,OK
2026-01-01T13:45:00,AWS,R-00206,CPUPercent,14.77,80,OK
2026-01-01T14:00:00,AWS,R-00066,DiskPercent,80.08,80,OK
2026-01-01T14:15:00,Azure,R-00425,MemoryPercent,35.87,80,Warning
2026-01-01T14:30:00,AWS,R-00123,CPUPercent,95.08,80,Warning
2026-01-01T14:45:00,Azure,R-00144,DiskPercent,31.63,80,OK
2026-01-01T15:00:00,AWS,R-00413,LatencyMs,82.06,80,OK
2026-01-01T15:15:00,AWS,R-00114,CPUPercent,33.17,80,Warning
2026-01-01T15:30:00,AWS,R-00031,MemoryPercent,71.13,80,OK
2026-01-01T15:45:00,Azure,R-00457,CPUPercent,54.7,80,OK
2026-01-01T16:00:00,Azure,R-00358,MemoryPercent,90.04,80,OK
2026-01-01T16:15:00,Azure,R-00468,DiskPercent,10.98,80,OK
2026-01-01T16:30:00,Azure,R-00223,MemoryPercent,36.47,80,OK
2026-01-01T16:45:00,Azure,R-00040,DiskPercent,80.66,80,Warning
2026-01-01T17:00:00,Azure,R-00260,DiskPercent,54.23,80,Warning
2026-01-01T17:15:00,AWS,R-00062,LatencyMs,12.98,80,OK
2026-01-01T17:30:00,Azure,R-00006,DiskPercent,16.44,80,OK
2026-01-01T17:45:00,AWS,R-00335,LatencyMs,75.37,80,OK
2026-01-01T18:00:00,Azure,R-00069,CPUPercent,43.7,80,OK
2026-01-01T18:15:00,Azure,R-00320,LatencyMs,68.27,80,OK
2026-01-01T18:30:00,Azure,R-00184,CPUPercent,47.62,80,OK
2026-01-01T18:45:00,Azure,R-00306,CPUPercent,62.17,80,OK
2026-01-01T19:00:00,AWS,R-00434,MemoryPercent,1.32,80,Warning
2026-01-01T19:15:00,AWS,R-00177,CPUPercent,38.46,80,Warning
2026-01-01T19:30:00,AWS,R-00258,LatencyMs,90.84,80,OK
2026-01-01T19:45:00,AWS,R-00245,CPUPercent,18.38,80,OK
2026-01-01T20:00:00,AWS,R-00378,LatencyMs,51.36,80,OK
2026-01-01T20:15:00,AWS,R-00273,CPUPercent,71.53,80,Warning
2026-01-01T20:30:00,AWS,R-00282,LatencyMs,95.27,80,Warning
2026-01-01T20:45:00,AWS,R-00311,CPUPercent,73.42,80,OK
2026-01-01T21:00:00,Azure,R-00034,DiskPercent,82.7,80,OK
2026-01-01T21:15:00,Azure,R-00450,CPUPercent,22.46,80,OK
2026-01-01T21:30:00,AWS,R-00254,LatencyMs,36.65,80,OK
2026-01-01T21:45:00,AWS,R-00029,LatencyMs,9.75,80,OK
2026-01-01T22:00:00,Azure,R-00050,DiskPercent,81.05,80,OK
2026-01-01T22:15:00,Azure,R-00062,CPUPercent,78.05,80,OK
2026-01-01T22:30:00,AWS,R-00425,DiskPercent,66.36,80,Warning
2026-01-01T22:45:00,Azure,R-00444,LatencyMs,34.25,80,OK
2026-01-01T23:00:00,Azure,R-00075,DiskPercent,35.58,80,OK
2026-01-01T23:15:00,Azure,R-00082,DiskPercent,44.95,80,OK
2026-01-01T23:30:00,Azure,R-00029,LatencyMs,36.01,80,OK
2026-01-01T23:45:00,Azure,R-00389,DiskPercent,40.31,80,OK
2026-01-02T00:00:00,AWS,R-00236,DiskPercent,37.84,80,Warning
2026-01-02T00:15:00,AWS,R-00497,CPUPercent,85.7,80,OK
2026-01-02T00:30:00,Azure,R-00308,MemoryPercent,67.86,80,Warning
2026-01-02T00:45:00,Azure,R-00325,LatencyMs,9.72,80,OK
2026-01-02T01:00:00,AWS,R-00114,CPUPercent,65.16,80,OK
2026-01-02T01:15:00,AWS,R-00263,CPUPercent,34.33,80,OK
2026-01-02T01:30:00,AWS,R-00144,MemoryPercent,86.93,80,OK
2026-01-02T01:45:00,Azure,R-00219,LatencyMs,64.05,80,OK
2026-01-02T02:00:00,AWS,R-00254,DiskPercent,56.12,80,OK
2026-01-02T02:15:00,AWS,R-00111,CPUPercent,53.95,80,OK
2026-01-02T02:30:00,Azure,R-00358,DiskPercent,75.79,80,OK
2026-01-02T02:45:00,Azure,R-00124,CPUPercent,74.44,80,Warning
2026-01-02T03:00:00,AWS,R-00059,DiskPercent,40.95,80,OK
2026-01-02T03:15:00,AWS,R-00166,LatencyMs,43.55,80,OK
2026-01-02T03:30:00,Azure,R-00321,MemoryPercent,12.77,80,OK
2026-01-02T03:45:00,AWS,R-00333,CPUPercent,14.22,80,OK
2026-01-02T04:00:00,Azure,R-00059,MemoryPercent,43.21,80,Warning
2026-01-02T04:15:00,AWS,R-00476,LatencyMs,59.16,80,OK
2026-01-02T04:30:00,AWS,R-00406,CPUPercent,56.44,80,Warning
2026-01-02T04:45:00,AWS,R-00424,MemoryPercent,42.28,80,OK
